3P_x,3PA_x,AST_x,BLK_x,FG_x,FGA_x,FT_x,FTA_x,ORB_x,DRB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,Team_Win_x,opp_TRB_x,opp_3P_x,opp_3PA_x,opp_AST_x,opp_BLK_x,opp_FG_x,opp_FGA_x,opp_FT_x,opp_FTA_x,opp_PTS_x,opp_ORB_x,opp_DRB_x,opp_STL_x,opp_PF_x,opp_TOV_x,total_PTS_x,is_Home_x,Team_x,Game_Id,Date_x,Days_Since_x,game_Location_x,team_location_x,distance_From_Home_x,game_time_zone_x,team_time_zone_x,game_hour (et)_x,time_zone_diff_x,last_loc_x,distance_From_Last_Game_x,last_time_zone_x,time_zone_change_x,game_number_x,result_x,played_yesterday_x,played_diff_loc_yesterday_x,back_to_back_road_games_x,first_x,3P_y,3PA_y,AST_y,BLK_y,FG_y,FGA_y,FT_y,FTA_y,ORB_y,DRB_y,PF_y,PTS_y,STL_y,TOV_y,TRB_y,Team_Win_y,opp_TRB_y,opp_3P_y,opp_3PA_y,opp_AST_y,opp_BLK_y,opp_FG_y,opp_FGA_y,opp_FT_y,opp_FTA_y,opp_PTS_y,opp_ORB_y,opp_DRB_y,opp_STL_y,opp_PF_y,opp_TOV_y,total_PTS_y,is_Home_y,Team_y,Date_y,Days_Since_y,game_Location_y,team_location_y,distance_From_Home_y,game_time_zone_y,team_time_zone_y,game_hour (et)_y,time_zone_diff_y,last_loc_y,distance_From_Last_Game_y,last_time_zone_y,time_zone_change_y,game_number_y,result_y,played_yesterday_y,played_diff_loc_yesterday_y,back_to_back_road_games_y,first_y
4.54838709677,13.0967741935,22.6451612903,4.96774193548,35.0967741935,80.3548387097,17.8064516129,22.3548387097,12.064516129,31.0967741935,19.3225806452,92.5483870968,7.35483870968,14.1935483871,43.1612903226,1,40.5161290323,5.45161290323,16.5483870968,18.4193548387,5.29032258065,34.935483871,80.8387096774,16.1935483871,21.4516129032,91.5161290323,11.3870967742,29.1290322581,7.77419354839,20.2258064516,13.7096774194,184.064516129,0,Chicago,1/4/2013_Miami_Chicago,2013-01-04,2.0,Miami,Chicago,2220,3,2,19,1,Orlando,380.0,3.0,0.0,31,7.0,False,False,False,0,8.48387096774,21.5483870968,22.3225806452,4.77419354839,38.4193548387,78.2258064516,17.7741935484,23.2580645161,7.96774193548,30.7419354839,19.0967741935,103.096774194,8.12903225806,13.5161290323,38.7096774194,0,41.4516129032,8.25806451613,23.064516129,20.4838709677,3.38709677419,36.5806451613,82.7741935484,17.0967741935,22.064516129,98.5161290323,11.5483870968,29.9032258065,7.74193548387,20.1935483871,14.0967741935,201.612903226,1,Miami,2013-01-04,2.0,Miami,Miami,0,3,3,20,0,Miami,0.0,3.0,0.0,31,-7.0,False,False,False,1
4.71875,13.125,23.0,5.09375,35.375,80.40625,17.875,22.40625,12.1875,31.09375,19.375,93.34375,7.4375,14.375,43.28125,1,40.21875,5.5,16.46875,18.4375,5.28125,34.875,80.75,16.28125,21.5,91.53125,11.375,28.84375,7.78125,20.34375,13.78125,184.875,1,Chicago,1/7/2013_Chicago_Cleveland,2013-01-07,2.0,Chicago,Chicago,0,2,2,20,0,Miami,2220.0,3.0,-1.0,32,26.0,False,False,False,0,7.66666666667,21.5555555556,19.3888888889,3.44444444444,35.1944444444,84.3888888889,16.3888888889,22.0277777778,13.0833333333,28.7222222222,22.2222222222,94.4444444444,8.05555555556,14.4722222222,41.8055555556,0,41.5277777778,7.27777777778,19.8055555556,23.0555555556,7.08333333333,36.9722222222,78.1944444444,19.0833333333,25.2777777778,100.305555556,10.6388888889,30.8888888889,8.16666666667,20.1944444444,15.1111111111,194.75,0,Cleveland,2013-01-07,3.0,Chicago,Cleveland,552,2,3,20,-1,Cleveland,552.0,3.0,-1.0,36,-26.0,False,False,False,1
4.69696969697,13.0303030303,23.0,5.0,35.4848484848,80.8484848485,17.7575757576,22.3333333333,12.303030303,31.0303030303,19.3333333333,93.4242424242,7.48484848485,14.3939393939,43.3333333333,0,40.4545454545,5.63636363636,16.6363636364,18.5151515152,5.57575757576,35.0,80.8484848485,16.2727272727,21.4848484848,91.9090909091,11.3636363636,29.0909090909,7.87878787879,20.2727272727,13.8484848485,185.333333333,1,Chicago,1/9/2013_Chicago_Milwaukee,2013-01-09,1.0,Chicago,Chicago,0,2,2,19,0,Chicago,0.0,2.0,0.0,33,-8.0,False,False,False,0,6.14705882353,17.8235294118,21.8529411765,7.64705882353,37.1764705882,85.7647058824,16.0,21.3823529412,12.7058823529,30.6470588235,19.2058823529,96.5,8.82352941176,14.0882352941,43.3529411765,1,45.4411764706,5.76470588235,17.2647058824,22.0294117647,4.17647058824,36.7941176471,83.0882352941,17.8823529412,23.0588235294,97.2352941176,12.6470588235,32.7941176471,7.97058823529,19.6176470588,15.6470588235,193.735294118,0,Milwaukee,2013-01-09,2.0,Chicago,Milwaukee,148,2,2,22,0,Milwaukee,148.0,2.0,0.0,34,8.0,True,True,False,1
4.70588235294,12.9705882353,23.0882352941,5.02941176471,35.5882352941,80.4705882353,17.9705882353,22.6764705882,12.1176470588,31.0882352941,19.4411764706,93.8529411765,7.5,14.5,43.2058823529,1,40.4705882353,5.79411764706,16.7941176471,18.4705882353,5.5,35.0588235294,81.1176470588,16.2647058824,21.5294117647,92.1764705882,11.5588235294,28.9117647059,7.97058823529,20.5,13.7941176471,186.029411765,0,Chicago,1/11/2013_New York_Chicago,2013-01-11,1.0,New York,Chicago,1283,3,2,13,1,Chicago,1283.0,2.0,1.0,34,7.0,False,False,False,0,11.1944444444,28.8055555556,20.0,3.83333333333,37.2777777778,83.75,15.7777777778,21.0833333333,10.9444444444,29.3888888889,19.1111111111,101.527777778,8.5,10.8055555556,40.3333333333,0,42.8888888889,7.97222222222,21.9166666667,19.9166666667,3.91666666667,36.1666666667,79.0,16.75,21.4166666667,97.0555555556,9.94444444444,32.9444444444,6.05555555556,19.2777777778,14.7222222222,198.583333333,1,New York,2013-01-11,2.0,New York,New York,0,3,3,19,0,Indianapolis,1140.0,3.0,0.0,36,-7.0,True,True,False,1
4.66666666667,12.9444444444,22.8055555556,5.27777777778,35.4166666667,80.6388888889,18.0833333333,22.9166666667,12.3611111111,31.25,19.3055555556,93.5833333333,7.41666666667,14.3333333333,43.6111111111,1,40.5833333333,5.69444444444,16.6388888889,18.5,5.66666666667,34.7777777778,80.9166666667,16.1111111111,21.3055555556,91.3611111111,11.4722222222,29.1111111111,7.80555555556,20.5833333333,13.8888888889,184.944444444,1,Chicago,1/14/2013_Chicago_Atlanta,2013-01-14,2.0,Chicago,Chicago,0,2,2,20,0,Chicago,0.0,2.0,0.0,36,39.0,False,False,False,0,8.67567567568,23.2162162162,22.9459459459,5.05405405405,36.7297297297,81.2702702703,13.2972972973,18.8918918919,9.7027027027,30.8378378378,17.7027027027,95.4324324324,8.45945945946,14.1081081081,40.5405405405,0,43.8108108108,7.51351351351,19.8108108108,21.9459459459,4.86486486486,36.5675675676,82.3783783784,14.8648648649,19.1081081081,95.5135135135,11.4594594595,32.3513513514,8.72972972973,18.8648648649,14.7567567568,190.945945946,0,Atlanta,2013-01-14,2.0,Chicago,Atlanta,1153,2,3,19,-1,Washington DC,1129.0,3.0,-1.0,37,-39.0,False,False,False,1
4.62162162162,12.8918918919,22.8918918919,5.18918918919,35.5135135135,80.7837837838,18.2972972973,23.2702702703,12.4054054054,31.2702702703,19.5945945946,93.9459459459,7.40540540541,14.3243243243,43.6756756757,1,40.6486486486,5.7027027027,16.6216216216,18.5405405405,5.64864864865,34.8648648649,81.027027027,16.2972972973,21.5945945946,91.7297297297,11.5135135135,29.1351351351,7.75675675676,20.8108108108,13.8378378378,185.675675676,0,Chicago,1/16/2013_Toronto_Chicago,2013-01-16,1.0,Toronto,Chicago,848,3,2,22,1,Chicago,848.0,2.0,1.0,37,2.0,False,False,False,0,7.53846153846,21.8205128205,22.2820512821,4.61538461538,35.9743589744,82.0512820513,17.5384615385,22.641025641,10.8717948718,29.2051282051,22.9230769231,97.0256410256,7.33333333333,12.4102564103,40.0769230769,0,42.5897435897,6.10256410256,17.4871794872,21.9230769231,5.17948717949,36.2051282051,79.0,20.4615384615,27.0769230769,98.9743589744,10.7692307692,31.8205128205,6.64102564103,19.7435897436,13.8974358974,196.0,1,Toronto,2013-01-16,2.0,Toronto,Toronto,0,3,3,22,0,Brooklyn,829.0,3.0,0.0,39,-2.0,True,True,False,1
4.63157894737,12.9473684211,22.8421052632,5.07894736842,35.5263157895,80.6315789474,18.4210526316,23.5,12.2894736842,31.3684210526,19.6578947368,94.1052631579,7.31578947368,14.5,43.6578947368,1,40.6842105263,5.63157894737,16.5526315789,18.4473684211,5.57894736842,34.9473684211,81.2894736842,16.3947368421,21.7631578947,91.9210526316,11.5,29.1842105263,7.81578947368,21.0,13.7631578947,186.026315789,0,Chicago,1/18/2013_Boston_Chicago,2013-01-18,2.0,Boston,Chicago,1583,3,2,20,1,Toronto,885.0,3.0,0.0,38,1.0,False,False,False,0,5.46153846154,16.1282051282,23.0512820513,4.05128205128,36.8974358974,79.7692307692,15.8974358974,20.5128205128,8.4358974359,30.358974359,21.2051282051,95.1538461538,8.74358974359,13.6666666667,38.7948717949,0,42.5384615385,6.97435897436,19.3333333333,21.3333333333,4.71794871795,35.6923076923,79.8974358974,17.4615384615,24.2307692308,95.8205128205,10.9230769231,31.6153846154,7.79487179487,19.6153846154,14.9743589744,190.974358974,1,Boston,2013-01-18,2.0,Boston,Boston,0,3,3,20,0,Boston,0.0,3.0,0.0,39,-1.0,False,False,False,1
4.58974358974,12.9743589744,22.8205128205,5.10256410256,35.4102564103,80.7435897436,18.3846153846,23.4358974359,12.358974359,31.4615384615,19.7948717949,93.7948717949,7.28205128205,14.5128205128,43.8205128205,0,40.8717948718,5.48717948718,16.2564102564,18.358974359,5.64102564103,34.9230769231,81.358974359,16.4102564103,21.9230769231,91.7435897436,11.641025641,29.2307692308,7.82051282051,21.0256410256,13.7179487179,185.538461538,1,Chicago,1/19/2013_Chicago_Memphis,2013-01-19,1.0,Chicago,Chicago,0,2,2,19,0,Boston,1583.0,3.0,-1.0,39,-3.0,True,True,False,0,4.71794871795,13.8717948718,20.4615384615,5.41025641026,35.7179487179,82.4358974359,17.0769230769,21.6153846154,13.4102564103,29.5128205128,19.8974358974,93.2307692308,9.15384615385,13.8717948718,42.9230769231,1,39.2820512821,6.41025641026,18.0512820513,19.8974358974,5.79487179487,33.7179487179,77.7948717949,15.7435897436,21.0512820513,89.5897435897,10.6666666667,28.6153846154,8.12820512821,20.1538461538,15.4102564103,182.820512821,0,Memphis,2013-01-19,1.0,Chicago,Memphis,858,2,2,19,0,Memphis,858.0,2.0,0.0,39,3.0,True,True,False,1
4.7,13.075,22.875,5.25,35.5,81.05,18.125,23.15,12.4,31.325,19.8,93.825,7.325,14.35,43.725,1,41.1,5.425,16.275,18.275,5.725,34.85,81.35,16.4,21.95,91.525,11.725,29.375,7.75,20.9,13.75,185.35,1,Chicago,1/21/2013_Chicago_LA Lakers,2013-01-21,1.0,Chicago,Chicago,0,2,2,22,0,Chicago,0.0,2.0,0.0,40,12.0,False,False,False,0,8.85365853659,25.0487804878,21.8780487805,5.63414634146,37.1219512195,81.8048780488,19.487804878,28.0731707317,12.4390243902,32.7317073171,19.0731707317,102.585365854,7.36585365854,14.9512195122,45.1707317073,0,42.3658536585,7.63414634146,21.4390243902,23.6097560976,5.0,39.2926829268,87.0731707317,15.2195121951,21.1463414634,101.43902439,12.0,30.3658536585,8.39024390244,23.0731707317,12.9512195122,204.024390244,0,LA Lakers,2013-01-21,2.0,Chicago,Los Angeles,3244,2,0,20,2,Toronto,848.0,3.0,-1.0,41,-12.0,True,True,True,1
4.65853658537,13.0975609756,22.8292682927,5.24390243902,35.3902439024,80.8048780488,18.1707317073,23.2195121951,12.4390243902,31.2682926829,19.756097561,93.6097560976,7.26829268293,14.3414634146,43.7073170732,1,41.0,5.39024390244,16.1951219512,18.3170731707,5.68292682927,34.8292682927,81.3658536585,16.243902439,21.756097561,91.2926829268,11.756097561,29.243902439,7.70731707317,20.9268292683,13.7073170732,184.902439024,1,Chicago,1/23/2013_Chicago_Detroit,2013-01-23,1.0,Chicago,Chicago,0,2,2,19,0,Chicago,0.0,2.0,0.0,41,3.0,False,False,False,0,6.33333333333,17.0,20.4523809524,5.64285714286,36.0238095238,81.0714285714,16.5714285714,23.4047619048,12.5714285714,31.0952380952,19.9047619048,94.9523809524,6.28571428571,14.380952381,43.6666666667,0,41.9047619048,6.7380952381,20.619047619,20.8571428571,5.61904761905,35.9285714286,81.8095238095,17.119047619,22.5714285714,95.7142857143,11.6428571429,30.2619047619,8.09523809524,20.9523809524,12.8095238095,190.666666667,0,Detroit,2013-01-23,2.0,Chicago,Detroit,463,2,3,20,-1,Detroit,463.0,3.0,-1.0,42,-3.0,True,True,False,1
4.74418604651,13.3023255814,22.7209302326,5.32558139535,35.3720930233,80.7441860465,17.8604651163,22.8372093023,12.3953488372,31.5348837209,19.8139534884,93.3488372093,7.13953488372,14.3953488372,43.9302325581,0,40.9302325581,5.3023255814,16.1162790698,18.2093023256,5.58139534884,34.6279069767,81.2325581395,16.511627907,21.9534883721,91.0697674419,11.6511627907,29.2790697674,7.62790697674,20.7209302326,13.5348837209,184.418604651,0,Chicago,1/26/2013_Washington_Chicago,2013-01-26,1.0,Washington DC,Chicago,1129,3,2,22,1,Chicago,1129.0,2.0,1.0,43,-13.0,True,True,False,0,6.57142857143,19.2380952381,21.5,4.88095238095,34.9761904762,83.0714285714,14.8333333333,20.2142857143,11.1666666667,32.5,20.7380952381,91.3571428571,7.47619047619,14.7619047619,43.6666666667,1,45.7142857143,7.14285714286,20.619047619,21.6428571429,4.95238095238,36.0952380952,82.3333333333,16.880952381,23.2619047619,96.2142857143,11.619047619,34.0952380952,7.66666666667,19.0952380952,14.119047619,187.571428571,1,Washington,2013-01-26,1.0,Washington DC,Washington DC,0,3,3,22,0,Washington DC,0.0,3.0,0.0,42,13.0,True,False,False,1
4.79545454545,13.4090909091,22.7045454545,5.52272727273,35.3636363636,80.6818181818,17.8181818182,22.8863636364,12.4545454545,31.5681818182,19.8181818182,93.3409090909,7.09090909091,14.3181818182,44.0227272727,1,40.9318181818,5.31818181818,16.0227272727,18.0681818182,5.56818181818,34.5681818182,81.2272727273,16.4772727273,21.9318181818,90.9318181818,11.6363636364,29.2954545455,7.52272727273,20.7045454545,13.4545454545,184.272727273,1,Chicago,1/28/2013_Chicago_Charlotte,2013-01-28,2.0,Chicago,Chicago,0,2,2,21,0,Washington DC,1129.0,3.0,-1.0,44,8.0,False,False,False,0,5.70454545455,16.1363636364,18.9090909091,6.5,34.7272727273,81.7954545455,19.7272727273,26.2954545455,11.5681818182,29.5681818182,19.6818181818,94.8863636364,7.25,13.0227272727,41.1363636364,0,44.6363636364,9.38636363636,24.0681818182,25.1590909091,7.79545454545,38.6363636364,83.9318181818,16.2727272727,22.1818181818,102.931818182,12.7954545455,31.8409090909,6.88636363636,21.9090909091,13.7954545455,197.818181818,0,Charlotte,2013-01-28,2.0,Chicago,Charlotte,1217,2,3,20,-1,Charlotte,1217.0,3.0,-1.0,44,-8.0,False,False,False,1
4.77777777778,13.4,22.8,5.51111111111,35.5777777778,80.9111111111,17.6444444444,22.6666666667,12.5111111111,31.5333333333,19.8666666667,93.5777777778,7.15555555556,14.2444444444,44.0444444444,1,40.9333333333,5.33333333333,15.9777777778,18.0444444444,5.6,34.5555555556,81.2444444444,16.4222222222,21.8666666667,90.8666666667,11.7111111111,29.2222222222,7.42222222222,20.6666666667,13.5555555556,184.444444444,0,Chicago,1/30/2013_Milwaukee_Chicago,2013-01-30,1.0,Milwaukee,Chicago,148,2,2,19,0,Chicago,148.0,2.0,0.0,45,16.0,False,False,False,0,6.54545454545,18.5,22.2727272727,7.5,37.6590909091,86.6136363636,15.9318181818,21.5909090909,13.1363636364,30.6818181818,19.0681818182,97.7954545455,8.47727272727,13.9772727273,43.8181818182,0,45.6363636364,5.95454545455,17.6363636364,22.5681818182,4.27272727273,37.2954545455,84.1590909091,17.5909090909,22.7727272727,98.1363636364,12.7727272727,32.8636363636,8.02272727273,19.8636363636,15.4772727273,195.931818182,1,Milwaukee,2013-01-30,2.0,Milwaukee,Milwaukee,0,2,2,20,0,Detroit,615.0,3.0,-1.0,44,-16.0,True,True,False,1
