3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
11.0,25.0,25.0,1.0,36.0,92.0,22.0,30.0,18.0,21.0,105.0,5.0,12.0,55.0,1,1,Boston,36.0,8.0,23.0,22.0,6.0,38.0,76.0,15.0,24.0,99.0,3.0,6.0,25.0,11.0,Chicago,10/27/2016_Chicago_Boston
8.0,29.0,12.0,4.0,37.0,91.0,32.0,46.0,15.0,25.0,114.0,10.0,7.0,48.0,0,1,Portland,48.0,4.0,18.0,18.0,4.0,39.0,85.0,24.0,32.0,106.0,9.0,4.0,34.0,14.0,LA Clippers,10/27/2016_Portland_LA Clippers
4.0,18.0,18.0,4.0,39.0,85.0,24.0,32.0,9.0,34.0,106.0,4.0,14.0,48.0,1,0,LA Clippers,48.0,8.0,29.0,12.0,4.0,37.0,91.0,32.0,46.0,114.0,15.0,10.0,25.0,7.0,Portland,10/27/2016_Portland_LA Clippers
6.0,18.0,23.0,8.0,36.0,79.0,24.0,27.0,9.0,26.0,102.0,10.0,9.0,40.0,0,1,Sacramento,40.0,6.0,20.0,22.0,0.0,28.0,70.0,32.0,38.0,94.0,6.0,7.0,21.0,15.0,San Antonio,10/27/2016_Sacramento_San Antonio
6.0,20.0,22.0,0.0,28.0,70.0,32.0,38.0,6.0,21.0,94.0,7.0,15.0,40.0,1,0,San Antonio,40.0,6.0,18.0,23.0,8.0,36.0,79.0,24.0,27.0,102.0,9.0,10.0,26.0,9.0,Sacramento,10/27/2016_Sacramento_San Antonio
7.0,24.0,22.0,6.0,37.0,98.0,13.0,20.0,14.0,22.0,94.0,7.0,13.0,49.0,0,0,Brooklyn,52.0,10.0,33.0,20.0,4.0,38.0,87.0,17.0,20.0,103.0,12.0,6.0,23.0,16.0,Indiana,10/28/2016_Brooklyn_Indiana
10.0,33.0,20.0,4.0,38.0,87.0,17.0,20.0,12.0,23.0,103.0,6.0,16.0,52.0,1,1,Indiana,49.0,7.0,24.0,22.0,6.0,37.0,98.0,13.0,20.0,94.0,14.0,7.0,22.0,13.0,Brooklyn,10/28/2016_Brooklyn_Indiana
15.0,32.0,21.0,1.0,33.0,70.0,25.0,31.0,5.0,22.0,106.0,6.0,18.0,41.0,0,1,Dallas,34.0,8.0,29.0,13.0,2.0,35.0,80.0,20.0,24.0,98.0,6.0,11.0,21.0,9.0,Houston,10/28/2016_Dallas_Houston
8.0,29.0,13.0,2.0,35.0,80.0,20.0,24.0,6.0,21.0,98.0,11.0,9.0,34.0,1,0,Houston,41.0,15.0,32.0,21.0,1.0,33.0,70.0,25.0,31.0,106.0,5.0,6.0,22.0,18.0,Dallas,10/28/2016_Dallas_Houston
8.0,26.0,20.0,3.0,33.0,95.0,8.0,12.0,14.0,13.0,82.0,8.0,9.0,44.0,0,0,Detroit,53.0,7.0,19.0,27.0,4.0,48.0,95.0,5.0,6.0,108.0,9.0,8.0,11.0,12.0,Orlando,10/28/2016_Detroit_Orlando
7.0,19.0,27.0,4.0,48.0,95.0,5.0,6.0,9.0,11.0,108.0,8.0,12.0,53.0,1,1,Orlando,44.0,8.0,26.0,20.0,3.0,33.0,95.0,8.0,12.0,82.0,14.0,8.0,13.0,9.0,Detroit,10/28/2016_Detroit_Orlando
7.0,22.0,20.0,9.0,35.0,92.0,20.0,24.0,13.0,20.0,97.0,10.0,8.0,49.0,0,1,Miami,52.0,14.0,34.0,19.0,4.0,32.0,86.0,13.0,20.0,91.0,11.0,2.0,23.0,19.0,Charlotte,10/28/2016_Miami_Charlotte
